,item,condition,top_rated,reviews,watchers_or_sold,buy_now_extention,delivery,bids
10,"{'title': 'Dell P3222QE 32"" 4K IPS Technology Monitor - Black', 'link': 'https://www.ebay.com/itm/165656749837?hash=item2691e9670d:g:EhYAAOSwVg9jG2Qs', 'price': '$599.99'}",Certified - Refurbished,False,,,,"{'shipping': 'Free shipping', 'location': None}","{'count': None, 'time_left': None}"
11,"{'title': 'Dell Professional P2311H 23"" FHD 1920x1080 Backlit LED LCD Monitor', 'link': 'https://www.ebay.com/itm/165666129220?hash=item2692788544:g:1-QAAOSwFDhjIzwt', 'price': '$129.99'}",Certified - Refurbished,False,,,,"{'shipping': 'Free shipping', 'location': None}","{'count': None, 'time_left': None}"
12,"{'title': 'DELL U2415B LED Ultra Sharp 24"" Widescreen LCD Monitor', 'link': 'https://www.ebay.com/itm/354217399571?epid=6023069899&hash=item5279009513:g:ad8AAOSwXURi9E-F&amdata=enc%3AAQAHAAAAoE7BdohVk2Nm9tx9Od7zzEEoQPfYTBooKNNBzXbGkEMhz8ccMPmJtGbSQH%2B1AFxBUDDCACiiI7zdFuWH8o2jZSFLrewMm5UXqoOSqg1M3Yi7K3RwGlFl9SDLP3IOX5jbdrodedLCUOGs0XFJSHiLM%2F8B3sMvS0Lljd5gCPHAhB02ENLv6015Ui3CgUNV01VcnTyX%2F1wRWyuZ656xWHyiWMI%3D%7Ctkp%3ABk9SR7Lmr8_wYA', 'price': '$105.00'}",Pre-Owned,False,59,,or Best Offer,"{'shipping': '+$48.00 shipping', 'location': None}","{'count': None, 'time_left': None}"
13,"{'title': 'Dell UltraSharp Desktop Computer Monitor 19"" PC LCD (Grade B) - Lot(s) available', 'link': 'https://www.ebay.com/itm/254588870037?hash=item3b46addd95:g:1E8AAOSwQHVfoGRL&amdata=enc%3AAQAHAAAA4NPdoPL5y6uEsCLr%2FZJUB0of0WmerQneJubzoxBFFUrIYXCEAj%2FCrVKAz85XTAmPts2SOGTIWUEfA%2FixuSfyWuKi%2F8uZ%2Fp0wXHW0FSrc3oMfqC62FUbDB97KkcUAZgSTa1HoAoLtCmod7Pb6N9VT84Pl8xThOd%2BGouJWv%2FfkusDtNQWnR4PkKoRJLDvoNl2BLMDB7TJM%2FCNwnr00dbw0zuTf6wQz6VbE9yZUYqxaL3eQ%2B9%2BfjY%2FbD9lFkHrcTQ4ikhx2ztNtBnuBdIyO5YsXVljPfWPgALTvspVVIeDb9O4v%7Ctkp%3ABk9SR7Lmr8_wYA', 'price': '$32.99'}",Refurbished,False,,Save up to 10% when you buy more,or Best Offer,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
14,"{'title': 'Dell UltraSharp 22 inch LCD Monitor with Power cable and  VGA cable', 'link': 'https://www.ebay.com/itm/332852436920?epid=108867251&hash=item4d7f8d1fb8:g:cvYAAOSwOIlb0NGY&amdata=enc%3AAQAHAAAA4C3OW3ErwU76O17mxRVoZLuEEaOg%2F1oqqzTeW7%2FGXFzsOMe7UQqWRisHp9QoJgiUJq6xD0YnQoBRG1q9fVtqcRbht2hKgKCKqojSzUrBCGSUsNmblPfj8Bdo85oItkaXy7LWNPUYqZ71rICxgN4yReRaUEuetNW5htWlMY2HQ4SHbse4I0hBQrzA57E7PThCjI7aIIothtkOeBqo%2FcDfD3Mj%2B3grbypixBVmBlIW22uAjpS3fvtN3m3mRpHIKPNtqha91ptzxl4AFAoC70ugdKLXqGDnA9CKqQ5qeEwB0ru6%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$76.49'}",Refurbished,False,216,$10 off $250+ with coupon,Buy It Now,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
15,"{'title': 'Dell UltraSharp 19"" Monitor Desktop Computer PC LCD (Grade B) - Lot(s) available', 'link': 'https://www.ebay.com/itm/283488149568?hash=item420135e040:g:1MsAAOSwHWtbxeHp&amdata=enc%3AAQAHAAAA4Ag%2BQ4t4v%2BXKa1xYriDfB7x68%2FfHXFYtUVohpTh2kHzlulN%2FHiwurX5ZZ1gTP8BhtZ8adTGjFs%2FGEeajk4p%2FOcu%2BR4%2FzQ2Kz9pghWZbOq0OYMK0l0bRnfuMLc5szktLg6O23togKvkGqhKrPcBQOjJ8F7h6snu%2BPkljU634o5%2FfID9qo4bRXkdeSZrz3MO67CJsqcR3sd6xEk%2BdN8Cl%2BxwaPYK1IH6NVg5e4vPQshZtOlB3Nf7vIJrfE8EUh2mP2nynobaowodXrEhxwQNYZpDtB0m%2FL2Dc1FPQt0nVLMhxb%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$32.99'}",Refurbished,False,,Save up to 10% when you buy more,or Best Offer,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
16,"{'title': 'DELL PROFESSIONAL 23"" SCREEN LED-LIT MONITOR | P2317H | BLACK | NO STAND', 'link': 'https://www.ebay.com/itm/204099727589?hash=item2f854ab0e5:g:Wp4AAOSwK6djLJTp&amdata=enc%3AAQAHAAAAoPE9AEbos2jUczFdmc7g5M7%2Ffl%2FfGuHoXq5vwl5ddhwO8l6G7htQgHOFwvMbnFDhWSjNOV27ztj%2Bp1qUaXJCS321cBSq%2Bi6PvmYRFYrgRLAHMmAI12m0RnP7kHSzqAk5qf2PU20JQL3LKz3fyqKgL%2FER9UQANEHDeZigcd4RtygmC%2FeDzpbu8I6LVkA6paMMnbkz6gh0F5K5AL3Lhg4mhhc%3D%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$49.99'}",Pre-Owned,False,,,or Best Offer,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
17,"{'title': 'New ListingDell UltraSharp 34"" Curved USB-C Monitor U3419W', 'link': 'https://www.ebay.com/itm/204104257605?hash=item2f858fd045:g:4JwAAOSw945jM2yO&amdata=enc%3AAQAHAAAAoHgLrSgLQdHdkyanTwTRHB%2F%2Btdht8pmeY1d4ScdA9p5ntZAivnSTqXMGEQdlhyKvF2oS%2FZoO%2BGYhKUDdGw6TCQSbOHA9q%2FlXQX3V2CHJu5XLS9yISAisA0I2MnZFWAeOvFzh3vLrE8RX4235e1cNdut6QLRu8K7c%2F6JhlXOZj0j3Pb7CM9L60R%2BJpvpVrEpx9patxSewEWK8GLy9CRJsaX4%3D%7Ctkp%3ABk9SR7Tmr8_wYA', 'price': '$72.00'}",Pre-Owned,False,,,,"{'shipping': '+$106.88 shipping', 'location': None}","{'count': '12 bids · ', 'time_left': '6d 4h left'}"
18,"{'title': 'Dell UltraSharp 22"" Monitor Desktop Computer PC LCD (Grade B) - Lot(s) available', 'link': 'https://www.ebay.com/itm/264501165871?hash=item3d957f7f2f:g:NJAAAOSwhe9dp5TG&amdata=enc%3AAQAHAAAA4PnQ3DxNvel%2BlaQjkkx7XTagndl17xilGldouOiPTpn07jADZiSJDrQT9eEZ1lmT45YSFy8FLxXR7IbpflBe8fCyPxwsvC9PT7FxNQZAD%2FpMqyYbEcPB3PRipj2yD6CN5vRdn7EpBsQjrgoDiRESviw2J683Zqz2K1eQVkom1ly4GnXnXj5Q1xzyViIGFzmhCyELENVgGVDKovj1ieNtCaNLI40cZs49q%2BJHswwrMy039f6UzJ3ZhFxscvcXh4YUI7DrYBc4XRzE955XlAnnXimNyzeJeCSYp1OVy%2BtDksrv%7Ctkp%3ABFBMtOavz_Bg', 'price': '$52.99'}",Refurbished,False,,Save up to 10% when you buy more,or Best Offer,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
19,"{'title': 'Dell UltraSharp 17"" Monitor Desktop Computer PC LCD (Grade B) - Lot(s) available', 'link': 'https://www.ebay.com/itm/283448484305?hash=item41fed8a1d1:g:1MsAAOSwHWtbxeHp&amdata=enc%3AAQAHAAAA4CnmpvRGL5QfdSplNjxM%2BlBkjL9zIa5JKIE%2FGHd5Q0A2T0Ku8hViJ7tV4CqVGGZGS0egXhe7hPTRSQMoMAcdGIwHiGHaTPLYYmoTX2ClPPDIJTgJ9QhXB3Ds0FGT8CKPG3RXzDUAGGQ3zXKOaFhfvKFjravXlfk82e8Tfu3Nj1NYzxiOu6HDFlsgCMPlZpDaaHHd4jsmFf%2BLvVf5sU%2FiBMnu4lfA3nOKprFVaHXhs3h1cNjM9XLxmkhZg6OfJZ%2FdCWHS6KJiZDqK0Um%2B1WDxWbcNfTqKt5oOaeMaw4tOzvLo%7Ctkp%3ABFBMtOavz_Bg', 'price': '$24.99'}",Refurbished,False,,Save up to 10% when you buy more,or Best Offer,"{'shipping': None, 'location': None}","{'count': None, 'time_left': None}"
